title,desc,location,area,price,bedrooms,bathrooms,house_link
5 Bed House with En Suite at Lavington,Spacious 5-Bedroom House + DSQ for Rent – Lavin ...,Lavington,nan,"KSh 400,000/ month",5 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-lavington-3871314
3 Bed House with Garden at Cianda,Charming 3 Bedroom House in The Cianda Tea Dist ...,Cianda,nan,"KSh 110,000/ month",3 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-cianda-3863040
5 Bed House with En Suite in Runda,Runda an exclusive modern high end signature vi ...,"Runda, Westlands",nan,"KSh 650,000/ month",5 Bedrooms,6 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3870277
3 Bed House with En Suite in Lower Kabete,Lower Kabete – Three-Bedroom Townhouse for Rent,"Lower Kabete, Westlands",nan,"KSh 452,000/ month",3 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-lower-kabete-3871856
4 Bed Townhouse with En Suite in Loresho,Loresho –  Three-Bedroom Townhouse for Rent,"Loresho, Westlands",nan,"KSh 452,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-loresho-3871849
4 Bed House with En Suite in Karen,For Rent: 4-Bedroom House in Karen,Karen,nan,"KSh 450,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3871831
1 Bed Villa with En Suite at Mt Kenya,BEACHFRONT 1 BEDROOM IN NYALI,"0105, Mt Kenya, Nyali Area, Nyali",nan,"KSh 15,000/ month",1 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/furnished-1-bedroom-villa-for-rent-nyali-area-3818183
2 Bed House with En Suite in Runda,Runda – 2-Bedroom Furnished Cottage for Rent,"Runda, Westlands",nan,"KSh 200,000/ month",2 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/furnished-2-bedroom-house-for-rent-runda-3871772
5 Bed House with En Suite in Runda,Magnificent 5Br To LET,"Runda, Westlands",nan,"KSh 350,000/ month",5 Bedrooms,nan,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3871776
4 Bed Townhouse with En Suite in Westlands Area,WESTLANDS CHARM REDEFINED — SPACIOUS 4 BEDROOM ...,"Westlands Area, Westlands",nan,"KSh 250,000/ month",4 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-westlands-area-3871773
4 Bed House with En Suite in Nyari,Modern 4-Bedroom House for Rent – Nyari,"Nyari, Westlands",nan,"KSh 503,880/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-nyari-3871747
4 Bed House with En Suite in Muthaiga,Muthaiga Four-Bedroom Standalone House for Rent,Muthaiga,nan,"KSh 520,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-muthaiga-3871743
5 Bed House with En Suite in Runda,For Rent – Five-Bedroom House | Runda,"Runda, Westlands",nan,"KSh 543,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-house-for-rent-runda-3871736
4 Bed Townhouse with En Suite at Loresho,Brand new 4 bedroom townhouse all ensuite with ...,"Loresho, Westlands",nan,"KSh 600,000/ month",4 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-loresho-3871732
4 Bed House with En Suite in Kitisuru,4 BEDROOM STAND ALONE BUNGALOW ON 0.5 ACRE,"Kitisuru, Westlands",nan,"KSh 250,000/ month",4 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kitisuru-3871729
4 Bed House with En Suite in Runda,4 Bedroom House for Rent in the Prestigious Run ...,"Runda, Westlands",nan,"KSh 709,500/ month",4 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-runda-3871634
4 Bed House with En Suite in Kitisuru,KITISURU – FOUR-BEDROOM HOUSE FOR RENT,"Kitisuru, Westlands",nan,"KSh 646,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kitisuru-3871593
1 Bed House with Garden at Tate Close,Beautifully furnished cottage,"Tate close, Kitisuru, Westlands",nan,"KSh 80,000/ month",1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/furnished-1-bedroom-house-for-rent-kitisuru-3801145
1 Bed House with En Suite at Runda,Fully furnished 1brd guest wing Runda,"Runda, Westlands",nan,"KSh 70,000/ month",1 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/furnished-1-bedroom-house-for-rent-runda-3853228
3 Bed Townhouse with En Suite at Runda Evergreen,3 Bedrooms House for Rent  In Runda,"Runda, Runda evergreen, Westlands",nan,"KSh 110,000/ month",3 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-townhouse-for-rent-runda-3857086
3 Bed House with En Suite at Runda,3 Bedrooms House To Let In Runda Mimosa 🌴 👉Ke ...,"Runda, Westlands",nan,"KSh 150,000/ month",3 Bedrooms,2 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-runda-3869688
2 Bed House with En Suite at Runda,Runda Spacious 2brd guest wing to let,"Runda, Westlands",nan,"KSh 75,000/ month",2 Bedrooms,1 Bathrooms,https://www.buyrentkenya.com/listings/2-bedroom-house-for-rent-runda-3870886
4 Bed Townhouse with En Suite at Runda,4 bedrooms+dsq to let in runda price 300k,"Runda, Westlands","0,5 ac","KSh 300,000/ month",4 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-runda-3871522
3 Bed House with Staff Quarters in Tigoni,A rustic style 3bdrm cottage house to let in ti ...,"Tigoni Nairobi, Tigoni, Limuru",nan,"KSh 300,000/ month",3 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/3-bedroom-house-for-rent-tigoni-3871515
4 Bed House with En Suite at Ridgeways Lane,Superb 4 Bedroom Villa To Let at Ridgeways,"Ridgeways Lane, Ridgeways",349 m²,"KSh 300,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-ridgeways-3871471
5 Bed Villa with En Suite in Runda,5 Bedroom Villa to Rent in Ruaka,"Runda, Westlands",nan,"KSh 300,000/ month",5 Bedrooms,6 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-runda-3870136
4 Bed House in Karen,Karen 4bdr,Karen,nan,"KSh 300,000/ month",4 Bedrooms,nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-karen-3867989
