posted_on,title,description,location,area,price,bedrooms,bathrooms,house_link,amenities,agencyName,agencyNumber,agentLink
Created At: 24 November 2025,5 Bed Villa with En Suite in Loresho,"Located in a diplomatic zone of Loresho In a well secured gated community and one of the most sought after and secure areas 5 bedrooms plus dsq  villa for rent with following featuresGround floor* A massive kitchen fully fitted with Oven, cooker, microwave, * ⁠A voluminous Living Room with fireplace which opens to a patio extending to a large garden* ⁠Dining area which also opens to the the well manicured garden* ⁠Guest bathroom * ⁠Two guest bedrooms which are both ensuite * ⁠First floor with a family room opening to a balcony which overlooks the garden and the swimming pool * ⁠4 bedrooms are on this level Master bedroom with a walk in closet, jacuzzi, his and hers sink, shower cubicle * ⁠Higher floor has entertainment area that opens to a large rooftop terrace* Garden is well manicured and all flat *Private swimming pool*Open Rooftop terrace * ⁠Ample parking-unit is ready for occupationRent USD 4500","Loresho, Westlands",nan,"KSh 580,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/furnished-5-bedroom-villa-for-rent-loresho-3874830,"[['Backup Generator', 'Furnished', 'Service Charge Included', 'En Suite'], ['Staff Quarters', 'Gated Community', 'Garden', 'Swimming Pool', 'Gym', 'Parking', 'Balcony', 'Electric Fence']]",Charles Katiwa,+254 720 124229,https://www.buyrentkenya.com/estate-agent/bright-homes-management
Created At: 22 November 2025,4 Bed House with En Suite in Kiambu Road,"Modern, spacious townhouses each sitting on 1/8 acre, offering premium comfort and contemporary living.Key Features4 all en-suite bedrooms; master with walk-in wardrobes & private balconySpacious lounge, dining area opening to patio & gardenFamily/TV roomImported fitted open-plan kitchen (provision for oven, microwave, hood & 4-burner)Pantry, utility yard & DSQHome office/gym in attic (Type B)High-quality finishes: bamboo/laminate flooring, European tiles, frameless shower cubiclesGypsum ceilings with LED lightingSolar water heating, video door phone, intercom & alarm provisionFibre, DSTV & internet-ready3 parking spacesAmenitiesFully equipped gym, spa with sauna, steam, jacuzzi & yoga studioIndoor entertainment area with outdoor BBQTwo swimming pools (kids + lap pool)Landscaped green spaces & jogging trackChildren’s play areaBorehole, standby generator & inverter systemCCTV in common areasConvenience shops on-siteSewage treatment plant & recycled water for landscapingSecure perimeter wall with electric fenceIdeal for families seeking comfort, space, and modern community living.",Kiambu Road,nan,"KSh 454,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-kiambu-road-3874460,"[['Backup Generator', 'En Suite', 'Fibre Internet', 'Walk In Closet', 'Service Charge Included'], ['Balcony', 'BBQ', 'CCTV', 'Electric Fence', 'Garden', 'Gated Community', 'Wheelchair Access', 'Swimming Pool', 'Staff Quarters', 'Parking', 'Gym', 'Kids Play Area'], ['Bus Stop', 'Golf Course', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']]",Martin MuliLead Agent,+254 738 333559,https://www.buyrentkenya.com/estate-agent/zeeva-property-solutions-ltd
Created At: 16 November 2025,4 Bed House with En Suite at Loresho,"Beautifully Renovated 4-Bedroom Bungalow with Guest Wing & DSQ for Rent – LoreshoRent: USD 3,800/monthLocation: LoreshoExperience refined suburban living in this beautifully renovated 4-bedroom bungalow set on half an acre in a secure, gated community. The home offers a blend of modern comfort and classic charm, surrounded by lush greenery and serene views.Features:• 4 spacious bedrooms, 2 ensuite• Detached DSQ and 1-room guest wing• Spacious living room with separate dining area• High ceilings and plenty of natural light• Large private garden and patio opening to the outdoors• Attic room ideal for a study or relaxation space• Renovated bathrooms with modern finishes• Solar power system• Set on ½ acre within a gated community• Unobstructed views of mature greenery• Secure and peaceful neighborhood• Close proximity to schools, shopping centers, hospital, golf course, and public transportEnjoy comfort, space, and tranquility — ideal for families seeking modern living in Loresho.","Loresho, Westlands",nan,"KSh 480,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-loresho-3872178,"[['Aircon', 'Alarm', 'Backup Generator', 'En Suite', 'Fibre Internet', 'Service Charge Included', 'Walk In Closet'], ['Balcony', 'BBQ', 'CCTV', 'Electric Fence', 'Borehole', 'Garden', 'Parking', 'Staff Quarters', 'Wheelchair Access', 'Gated Community', 'Kids Play Area'], ['Bus Stop', 'Golf Course', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']]",Robert Kisekwa,+254 724 988735,https://www.buyrentkenya.com/estate-agent/origin-homes
Created At: 27 November 2025,4 Bed Townhouse with En Suite in Lavington,"🏡 Lavington – Modern 4 Bedroom Townhouse with Gym & Swimming PoolExperience elegant living in this modern 4-bedroom townhouse located in a quiet and serene gated community in Lavington, close to malls and key social amenities.✨ Features Include:Fully fitted modern kitchen with cooker, oven, fridge, washing machine, dryer & dishwasherSpacious, well-lit interiorsPrivate garden at the backLocated in a shared, secure communityAccess to Gym & Swimming PoolAmple parkingPeaceful, family-friendly environment💰 Rent: KES 380,000 per month",Lavington,nan,"KSh 380,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3875629,"[['En Suite'], ['Garden', 'Gym', 'Borehole', 'Electric Fence', 'Parking', 'Swimming Pool', 'Gated Community'], ['Shopping Centre']]",Sara,+254 797 832888,https://www.buyrentkenya.com/estate-agent/potaria-properties
Created At: 27 November 2025,4 Bed Townhouse with En Suite in Riverside,"🏡 TO LET: 4-BEDROOM CHARMING MAISONETTE, RIVERSIDE DRIVE 🌿Located along the peaceful Riverside Drive, this cozy 4-bedroom townhouse is nestled in a serene compound with lush greenery. 🌳 Perfect place to call home!FEATURES:✨ Sunken lounge | 🍽️ Separate dining area💡 Well-lit rooms | 💼 Home office🛏️ 1 bedroom downstairs | 3 upstairs🌲 Wooden flooring | 🌺 Private garden🏖️ Amazing grounds | 👶 Kids' play area🔌 Backup generator | 🏊 Swimming pool🚫 No pets allowed | 🚗 Ample parking🔐 24-hour security💰 Asking Price: Ksh 220,000📩 DM for more info or to schedule a viewing!","Riverside, Westlands",nan,"KSh 220,000/ month",4 Bedrooms,3 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-riverside-3875628,"[['Alarm', 'Backup Generator', 'En Suite', 'Fibre Internet', 'Service Charge Included'], ['Parking', 'CCTV', 'Electric Fence', 'Garden', 'Swimming Pool'], ['Bus Stop', 'Shopping Centre', 'Golf Course', 'Hospital', 'Scenic View', 'School']]",Brian June,+254 786 874486,https://www.buyrentkenya.com/estate-agent/easystay-properties
Created At: 27 November 2025,5 Bed Villa with En Suite in Syokimau,"Experience premium living in this 5-bedroom all–en-suite luxury villa located in the highly sought-after Syokimau area. This spacious, modern home is ideal for families seeking comfort, privacy, and top-tier amenities within a secure gated community.Property FeaturesAll 5 bedrooms are en-suiteSpacious lounge and separate dining areaModern high-quality finishes throughoutFamily room for additional living spaceWalk-in closet in the master bedroomWell-manicured private gardenShaded parking for 2 cars + ample guest parkingDSQLarge windows allowing excellent natural lightingCommunity AmenitiesSecure gated community environmentClubhouse for residentsSwimming poolChildren’s play area24/7 security and controlled accessThis luxury villa offers a perfect blend of comfort, style, and convenience—ideal for long-term family living in Syokimau.Book a ViewingCharles Kairu – UrbanGreen Real Estate📞 Call/WhatsApp:+254 ****phone_0View Number📧sales****email_0Send email🌐 www.urbangreenrealestate.co.ke",Syokimau,350 m²,"KSh 160,000/ month",5 Bedrooms,6 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-villa-for-rent-syokimau-3875624,"[['Alarm', 'Backup Generator', 'En Suite', 'Fibre Internet', 'Walk In Closet', 'Service Charge Included'], ['Kids Play Area', 'Balcony', 'BBQ', 'Parking', 'Staff Quarters', 'CCTV', 'Electric Fence', 'Swimming Pool', 'Wheelchair Access', 'Borehole', 'Garden', 'Gated Community'], ['Shopping Centre', 'Bus Stop', 'Golf Course', 'Hospital', 'Scenic View', 'School']]",Charles Kairu,+254 759 822955,https://www.buyrentkenya.com/estate-agent/urban-green-realty-company
Created At: 27 November 2025,5 Bed Townhouse with Staff Quarters in Lavington,- 4 Bedroom: 3 Bedrooms of first floor and One bedroom on Ground floor; All bedrooms are ensuite- Common Cloak room on Ground floor- Wood Parquet flooring Lounge & Dinning- Spacious Sunken Lounge- Fire Place- Wood Parquet of Flooring Spacious Kitchen with granite top that opens to the Dinning- Pantry- Dsq for Two- Laundry Area and drying Yard- Boundary wall with electric fence- Inverter system- key card access- Solar energy system,Lavington,nan,"KSh 300,000/ month",5 Bedrooms,5 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3875610,"[['Alarm', 'Service Charge Included'], ['Balcony', 'CCTV', 'Electric Fence', 'Borehole', 'Garden', 'Parking', 'Staff Quarters', 'Gated Community', 'Kids Play Area'], ['Hospital', 'Scenic View', 'School', 'Shopping Centre']]",Peter Maluki,+254 716 776744,https://www.buyrentkenya.com/estate-agent/canaan-properties
Created At: 27 November 2025,4 Bed Townhouse with En Suite in Lavington,"🏡 Lavington – Modern 4 Bedroom Townhouse with Gym & Swimming PoolExperience elegant living in this modern 4-bedroom townhouse located in a quiet and serene gated community in Lavington, close to malls and key social amenities.✨ Features Include:Fully fitted modern kitchen with cooker, oven, fridge, washing machine, dryer & dishwasherSpacious, well-lit interiorsPrivate garden at the backLocated in a shared, secure communityAccess to Gym & Swimming PoolAmple parkingPeaceful, family-friendly environment💰 Rent: KES 380,000 per month📱 For viewing & enquiries:+254 ****phone_0View Number|+254 ****phone_1View Number",Lavington,nan,"KSh 380,000/ month",4 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/4-bedroom-townhouse-for-rent-lavington-3875597,"[['Alarm', 'Service Charge Included', 'Backup Generator', 'En Suite', 'Fibre Internet'], ['Balcony', 'Parking', 'Gym', 'Staff Quarters', 'CCTV', 'Electric Fence', 'Borehole', 'Swimming Pool', 'Garden', 'Gated Community'], ['Bus Stop', 'Shopping Centre', 'Golf Course', 'Hospital', 'Scenic View', 'School']]",Brian June,+254 786 874486,https://www.buyrentkenya.com/estate-agent/easystay-properties
Created At: 27 November 2025,5 Bed Townhouse with En Suite at Mbaazi Road,"An exclusively ultra modern spacious 5bedrooms 2 en-suite townhouse available for rent in the leafy secure suburb of Lavington close to Valley Arcade shopping centre, Lavington Naivas,  Junction  Mall among other key establishments. - High quality finishes - Spacious bright lounge - Separate dining room - Spacious closed plan kitchen with pantry - Laundry area - Domestic staff quarter - Solar hot water system - Ample parking - Enhanced security with Perimeter wall - 24hr company security - Gated community",Lavington,nan,"KSh 190,000/ month",5 Bedrooms,4 Bathrooms,https://www.buyrentkenya.com/listings/5-bedroom-townhouse-for-rent-lavington-3875595,"[['Alarm', 'Backup Generator', 'En Suite', 'Fibre Internet', 'Service Charge Included', 'Walk In Closet'], ['Balcony', 'CCTV', 'Electric Fence', 'Borehole', 'Garden', 'Parking', 'Staff Quarters', 'Wheelchair Access', 'Gated Community'], ['Bus Stop', 'Golf Course', 'Hospital', 'Scenic View', 'School', 'Shopping Centre']]",Allan  Lilande,+254 739 178394,https://www.buyrentkenya.com/estate-agent/fairhomes-kenya
Created At: 27 November 2025,4 Bed House with Garden in Hill View,"4-Bedroom Standalone House – Hill View, WestlandsDiscover this charming and spacious 4-bedroom standalone home nestled in the serene and secure neighbourhood of Hill View, Westlands. Perfect for family living, comfort, and privacy.Ground Floor Features:Elegant living room with a fireplace, seamlessly opening to the dining areaGuest bedroom on the ground floorCloakroom for visitorsSpacious kitchen with a pantry, ideal for storage and organizationFirst Floor Features:Cozy family room opening to a beautiful balcony with a relaxing, scenic viewThree ensuite bedrooms, including a large master bedroom with a bathtubExterior & Grounds:Sitting on half an acreSurrounded by tall, leafy green trees offering privacy and tranquilityWell-manicured garden, perfect for outdoor entertainment or quiet relaxationThis home blends comfort, nature, and convenience in one of Westlands’ most sought-after locations.","Hill View, Westlands",nan,"KSh 500,000/ month",4 Bedrooms,nan,https://www.buyrentkenya.com/listings/4-bedroom-house-for-rent-hill-view-3875579,"[['Service Charge Included', 'Backup Generator'], ['Balcony', 'Garden', 'Gated Community', 'Electric Fence', 'CCTV', 'Parking'], ['Bus Stop', 'Shopping Centre', 'Hospital', 'School']]",Alice Gitau,+254 720 777530,https://www.buyrentkenya.com/estate-agent/final-find-realtors
